City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Sorong,ID,77.95,overcast clouds,-0.88,131.25,The Waigo Hotel
15,Am Timan,TD,83.16,broken clouds,11.03,20.28,
18,Saint George,US,87.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
25,Bambous Virieux,MU,77.0,shower rain,-20.34,57.76,Casa Tia Villa
28,Maragheh,IR,80.6,few clouds,37.39,46.24,Maragheh Grand Hotel
29,Kapaa,US,78.8,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
39,Yurgamysh,RU,77.05,overcast clouds,55.37,64.47,Gostinitsa Uyut
44,Carnarvon,AU,78.8,clear sky,-24.87,113.63,Hospitality Carnarvon
47,Butaritari,KI,83.79,scattered clouds,3.07,172.79,Isles Sunset Lodge
52,Bari,IT,86.0,clear sky,41.12,16.85,Mercure Villa Romanazzi Carducci Bari
53,Georgetown,MY,87.8,scattered clouds,5.41,100.34,Cititel Penang
60,Gondanglegi,ID,82.58,clear sky,-7.75,112.01,Gg. Munasir Homestay
63,Mindelo,CV,77.0,broken clouds,16.89,-24.98,Hotel Gaudi
65,Linguere,SN,84.13,overcast clouds,15.4,-15.12,Centre Amadou Seck - Linguere
70,Saint-Philippe,RE,77.0,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
85,Faanui,PF,78.48,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
88,Finschhafen,PG,79.65,scattered clouds,-6.6,147.87,Cossam Guest House
90,Verkhoyansk,RU,86.94,broken clouds,67.54,133.38,
92,Pyshma,RU,77.7,overcast clouds,56.95,63.25,"Gostinitsa ""Postoyalyy Dvor"""
96,Mumford,GH,75.49,overcast clouds,5.26,-0.76,Spanish Villa
98,Davila,PH,89.6,thunderstorm,18.47,120.58,SITIO 3 DAVILA PASUQUIN
100,Labuan,MY,86.0,few clouds,5.28,115.24,Tiara Labuan Hotel
101,Ambilobe,MG,88.39,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
104,Beberibe,BR,77.0,broken clouds,-4.18,-38.13,Villa Arte Pousada Morro Branco
105,Batagay,RU,86.23,broken clouds,67.63,134.63,
109,Methoni,GR,86.0,clear sky,36.82,21.7,Methoni Beach Hotel
111,Shimoda,JP,80.6,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
117,Gat,IL,86.0,clear sky,31.61,34.76,רגע בנחת
121,Kudahuvadhoo,MV,84.63,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
122,Bambanglipuro,ID,80.89,few clouds,-7.95,110.28,Puri Brata
127,Geraldton,AU,78.8,clear sky,-28.77,114.6,Broadwater Mariner Resort
128,Hithadhoo,MV,85.01,broken clouds,-0.6,73.08,Scoop Guest House
129,Ulaangom,MN,75.18,broken clouds,49.98,92.07,Achit Nuur Hotel & Restaurant
132,Adre,TD,83.91,clear sky,13.47,22.2,
140,Matara,LK,85.84,broken clouds,5.95,80.54,Amaloh Boutique Resort
141,Brownwood,US,78.8,clear sky,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
153,Kavaratti,IN,78.8,heavy intensity rain,10.57,72.64,Bismillah Hotel And Lodging
155,Kisangani,CD,88.34,scattered clouds,0.52,25.2,Grand Ramela Hotel
161,Manavalakurichi,IN,84.2,scattered clouds,8.13,77.3,Udaya Boys Hostel
166,Mantua,IT,75.99,few clouds,45.17,10.78,Hotel la Favorita
169,Shenjiamen,CN,79.48,broken clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
173,Galesong,ID,86.0,scattered clouds,-5.32,119.37,Sapriadi Appy
186,Atbasar,KZ,87.26,clear sky,51.8,68.33,"The Ritz-Carlton, Astana"
188,Lata,PT,84.0,clear sky,40.16,-8.33,Casa Maquia
205,Ushtobe,KZ,83.34,clear sky,45.25,77.98,"Gostinitsa ""Diyar"""
207,Salalah,OM,82.4,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
212,Luangwa,ZM,87.13,clear sky,-15.62,30.42,Gerasimos Safari Lodge
214,Brentwood,US,75.0,clear sky,40.78,-73.25,Holiday Inn Express Hauppauge-Long Island
216,Grand Gaube,MU,77.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
217,Borovskoy,KZ,78.69,clear sky,53.8,64.15,
220,Hede,CN,80.15,overcast clouds,33.77,120.25,Vienna 3 Best Hotel Sheyang Jiefang Rd
224,Catalina,US,86.0,clear sky,32.51,-110.92,Miraval Arizona Resort & Spa
225,San Pedro,PH,89.01,few clouds,14.35,121.02,OYO 412 Viewfort Venue
232,Zhuanghe,CN,75.7,overcast clouds,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
234,Namatanai,PG,81.59,scattered clouds,-3.67,152.43,Namatanai Hotel
235,Gornopravdinsk,RU,76.08,scattered clouds,60.05,69.9,
248,Tarbagatay,RU,75.2,scattered clouds,51.48,107.36,
249,Mpongwe,ZM,80.78,clear sky,-13.51,28.16,GCMF Office & Lodge
251,Macapa,BR,75.2,scattered clouds,0.04,-51.07,Atalanta Hotel
254,Mwene-Ditu,CD,89.6,scattered clouds,-7.0,23.45,Hôtel Kamas
263,Hashtrud,IR,76.06,clear sky,37.48,47.05,هتل و مسافرخانه کارون
264,Kamina,CD,86.9,clear sky,-8.74,24.99,Guest House la Grace
265,Saint-Leu,RE,77.0,clear sky,-21.15,55.28,La Caz Oceane
267,Yudong,CN,79.0,mist,29.39,106.52,Manyue Condo Hotel
268,Banjar,ID,82.4,few clouds,-8.19,114.97,The Hamsa Resort
269,Harlingen,US,82.0,clear sky,26.19,-97.7,Courtyard by Marriott Harlingen
271,Partyzany,UA,85.39,clear sky,46.33,34.75,
274,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
280,Sola,VU,80.98,scattered clouds,-13.88,167.55,Leumerus Bungalows
290,Saint-Pierre,RE,77.0,clear sky,-21.34,55.48,Lindsey Hôtel
292,Lingyuan,CN,84.63,overcast clouds,41.24,119.4,Guomao Hotel
298,Kamenka,RU,84.99,clear sky,51.32,42.77,
300,Hirado,JP,77.0,broken clouds,33.36,129.55,Samson Hotel
308,Havelock,US,81.0,clear sky,34.88,-76.9,Sherwood Motel
316,Pizhanka,RU,75.81,clear sky,57.46,48.54,
319,Beloha,MG,84.56,clear sky,-25.17,45.05,
323,Neon Karlovasion,GR,82.4,clear sky,37.79,26.7,Hotel Aegeon
326,Tongliao,CN,88.03,overcast clouds,43.61,122.27,Meirujia Hotel
328,Rasuceni,RO,87.01,clear sky,44.09,25.66,Dolce Cabana
331,Kavieng,PG,83.37,scattered clouds,-2.57,150.8,Nusa Island Retreat
332,Trapani,IT,82.4,clear sky,37.83,12.67,
333,Tevaitoa,PF,79.34,broken clouds,-16.78,-151.5,Hôtel Raiatea Lodge
335,Excelsior Springs,US,75.99,clear sky,39.34,-94.23,The Elms Hotel & Spa
336,Utmanzai,PK,84.2,haze,34.19,71.76,Durrani’s Qala
342,Kismayo,SO,82.67,overcast clouds,-0.36,42.55,Agan-Hotel
344,Aflao,TG,77.0,scattered clouds,6.12,1.19,Hotel LeBenin
345,Abeche,TD,77.0,clear sky,13.83,20.83,Assaleh Hamdan Haroune
346,Zhigansk,RU,77.29,broken clouds,66.77,123.37,Gostinichnyy Kompleks Aylgy
357,Nanakuli,US,80.01,few clouds,21.39,-158.15,Camp Palehua
358,Lazaro Cardenas,MX,77.52,overcast clouds,17.96,-102.2,Hotel Quinta Antigua
361,Mishan,CN,77.74,few clouds,45.55,131.88,Mishan Hotel
362,Tiarei,PF,77.0,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
363,Oktyabrskiy,RU,78.19,broken clouds,54.48,53.47,Уязы-Тау гостиница
371,Kiyasovo,RU,79.0,clear sky,56.35,53.12,
372,Ushirombo,TZ,84.52,clear sky,-3.49,31.96,Kigali Hotel
376,Nara,JP,80.6,broken clouds,34.69,135.8,Guesthouse Nara Komachi
377,Makakilo City,US,80.6,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
378,Teguldet,RU,76.39,overcast clouds,57.31,88.17,Gostinitsa Kedr
379,Agirish,RU,77.61,broken clouds,61.92,63.02,
380,Sovetskaya,RU,85.01,clear sky,44.78,41.17,
386,Brandon,US,82.99,light rain,27.94,-82.29,Embassy Suites by Hilton Tampa Brandon - OPEN
388,Fare,PF,79.68,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
394,Carbonia,IT,87.8,clear sky,39.17,8.52,Lu 'Hotel
395,Pho Chai,TH,89.6,shower rain,16.33,103.77,ก๊อฟคุงยางมือสอง
396,Istanbul,TR,82.4,few clouds,41.04,28.98,The Marmara Taksim
397,Jinka,ET,77.59,overcast clouds,5.65,36.65,
401,Revda,RU,78.8,broken clouds,56.8,59.93,Cottage Nora
405,Dandong,CN,75.96,overcast clouds,40.13,124.39,Yiranju Farmstay
407,Beeville,US,79.0,overcast clouds,28.4,-97.75,Holiday Inn Express & Suites Beeville
408,Komsomolskiy,UZ,89.6,clear sky,40.43,71.72,Ikathouse
409,Kirakira,SB,78.89,overcast clouds,-10.45,161.92,SanBiz Lodge
412,Alekseyevsk,RU,77.56,overcast clouds,57.84,108.35,
413,Vilyuysk,RU,84.85,clear sky,63.76,121.62,Gostinitsa Viliuisk
414,Bolivar,US,75.0,scattered clouds,37.61,-93.41,Comfort Inn Bolivar
415,Honiara,SB,80.6,broken clouds,-9.43,159.95,Heritage Park Hotel
418,Felanitx,ES,84.2,clear sky,39.47,3.15,Petit Hotel Hostatgeria Sant Salvador
419,Catuday,PH,85.06,overcast clouds,16.29,119.81,GResort
420,Atar,MR,89.29,clear sky,20.52,-13.05,Oumou Elghoura
428,Ankara,TR,82.4,few clouds,39.92,32.85,Sheraton Ankara Hotel & Convention Center
432,San Andres,CO,77.0,thunderstorm with light rain,12.58,-81.7,Hotel Arena Blanca
433,Rovnoye,RU,81.7,clear sky,50.78,46.05,
436,Zhenlai,CN,86.95,broken clouds,45.85,123.3,
438,Karratha,AU,75.45,scattered clouds,-20.74,116.85,ibis Styles Karratha
442,Dzilam Gonzalez,MX,77.0,clear sky,21.28,-88.93,Amina
444,Ahome,MX,84.0,few clouds,25.92,-109.18,Rancho El Sauce y la Palma
445,Sfantu Gheorghe,RO,75.61,broken clouds,45.87,25.78,Hotel Park Sfantu Gheorghe
448,Silver City,US,77.0,clear sky,32.77,-108.28,Copper Manor Motel
449,Tukrah,LY,80.4,clear sky,32.53,20.58,استراحة لاقروتا
451,Alyangula,AU,77.0,broken clouds,-13.85,136.42,Groote Eylandt Lodge
453,Mayo,US,77.0,clear sky,38.89,-76.51,Resorts Resource Group International
454,Mairang,IN,84.2,light rain,25.57,91.63,St.Thomas Hostel
455,Namtsy,RU,89.6,few clouds,62.72,129.67,"""Эңсиэли Киин"""
460,Cockburn Town,TC,82.54,overcast clouds,21.46,-71.14,Osprey Beach Hotel
464,Saint-Louis,SN,82.4,scattered clouds,16.33,-15.0,
465,Baruun-Urt,MN,85.23,broken clouds,46.68,113.28,Ахмадын амралт сувилал
467,Hirara,JP,87.8,shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
468,Cumana,VE,78.8,scattered clouds,10.46,-64.18,TIUNA INN HOTEL
470,Kasongo-Lunda,CD,89.91,scattered clouds,-6.47,16.82,
473,Mocuba,MZ,82.8,clear sky,-16.84,36.99,Phama Lodge
476,Nago,JP,87.8,clear sky,26.59,127.98,Hotel Yugaf Inn Okinawa
477,Montepuez,MZ,83.37,clear sky,-13.13,39.0,RESIDÊNCIAL LANCHONETE
478,Shingu,JP,77.0,broken clouds,33.73,135.98,Shingu UI Hotel
479,Ziro,IN,78.8,mist,27.63,93.83,Ka-ngam homestay
480,Cabo San Lucas,MX,84.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
483,Aksu,CN,88.77,clear sky,41.12,80.26,Pudong Holiday Hotel
490,Murphy,US,84.0,light rain,33.02,-96.61,Southfork Ranch
491,Jalu,LY,87.49,clear sky,29.03,21.55,Jalu Hotel
493,Zhezkazgan,KZ,89.6,clear sky,47.8,67.71,Kvartiry Posutochno.
501,Morondava,MG,79.66,clear sky,-20.28,44.28,La Case Bambou
504,Barabai,ID,76.51,overcast clouds,-2.58,115.38,Joko Homestay
506,Brownsville,US,81.0,scattered clouds,25.9,-97.5,Hotel Alameda Express
513,Buribay,RU,87.64,broken clouds,51.96,58.16,
519,Sovetskiy,RU,79.72,few clouds,61.36,63.58,Apartment on Kievskaya 29
521,Semey,KZ,82.4,broken clouds,50.41,80.23,Hotel Zhana-Tau
524,Zabolotovka,RU,81.48,clear sky,50.27,39.31,Gostinnyy Dvorik
527,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
531,Salme,NP,78.8,broken clouds,28.04,85.09,
537,Markala,ML,82.74,overcast clouds,13.7,-6.07,Yaya Hôtel
538,Pervoye Maya,RU,80.6,clear sky,56.16,44.72,
546,Quelimane,MZ,80.2,clear sky,-17.88,36.89,Hotel Flamingo
549,Ashqelon,IL,86.0,clear sky,31.67,34.57,Leonardo Ashkelon
553,Igrim,RU,78.01,scattered clouds,63.19,64.42,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
